 
 Data read from: rbni5.dat                                                                                                                                                                                                                                                       
 
 Original data
 
 There are          72 counts, which are:
            X                   Y                       Count      Ref. No.
     5132.00000          2135.00000                          0           1
     4650.00000          1645.00000                         11           2
     1823.00000          2052.00000                          7           3
     6076.00000          2332.00000                          6           4
     5132.00000          2128.00000                          1           5
     5309.00000          2710.00000                          1           6
     2595.00000          7563.00000                          0           7
     5680.00000          2205.00000                          2           8
     6063.00000          1196.00000                        124           9
     5134.00000          2134.00000                          2          10
     2578.00000          3720.00000                          1          11
     4275.00000          5505.00000                          0          12
     3894.00000          4672.00000                          0          13
     4803.00000          1428.00000                          1          14
     3341.00000          7299.00000                          0          15
     3055.00000          7630.00000                          0          16
     2366.00000          8092.00000                          0          17
     1385.00000          8267.00000                         18          18
     3433.00000          3143.00000                         15          19
     2629.00000          8738.00000                          8          20
     3160.00000          8636.00000                          6          21
     2755.00000          8836.00000                          1          22
     1554.00000          7453.00000                          8          23
     4505.00000          3261.00000                          1          24
     2824.00000           450.00000                         15          25
     4313.00000          4526.00000                          0          26
     5064.00000          1591.00000                          1          27
     2802.00000          3572.00000                         11          28
     2256.00000          4686.00000                          0          29
     3019.00000          1074.00000                          1          30
     2666.00000          3414.00000                          0          31
     4184.00000          1070.00000                          1          32
     4438.00000          3304.00000                         28          33
     4119.00000          2800.00000                          0          34
     2778.00000          7010.00000                          0          35
     2916.00000          7626.00000                          0          36
     4025.00000          2285.00000                        111          37
     5677.00000          2071.00000                          6          38
     5752.00000          2656.00000                          0          39
     5155.00000          1771.00000                          0          40
     3056.00000          1378.00000                         11          41
     5203.00000          2798.00000                          0          42
     5556.00000          3580.00000                        110          43
     4985.00000          3756.00000                          7          44
     2378.00000          6958.00000                          0          45
     2384.00000          6235.00000                          4          46
     4057.00000          4423.00000                          0          47
     1661.00000           281.00000                          9          48
     3146.00000          1199.00000                          0          49
     4958.00000          3483.00000                          2          50
     1952.00000          2166.00000                          0          51
     3270.00000          1051.00000                          7          52
     3008.00000          5108.00000                          1          53
     5194.00000          2884.00000                         17          54
     4120.00000          2797.00000                          0          55
     2251.00000           649.00000                         14          56
     1642.00000           411.00000                          5          57
     4259.00000          3214.00000                         15          58
     3975.00000          2970.00000                          0          59
     5847.00000          2123.00000                          9          60
     2747.00000          1928.00000                          1          61
     2411.00000          2205.00000                          2          62
     3627.00000          4346.00000                          0          63
     5187.00000          2478.00000                          6          64
     2633.00000          2836.00000                          7          65
     3632.00000          5936.00000                          0          66
     4903.00000          2676.00000                         14          67
     3773.00000          1644.00000                          0          68
     5419.00000          4150.00000                         82          69
     5514.00000          1687.00000                          0          70
     5380.00000          1730.00000                          0          71
     4867.00000          1554.00000                          0          72
 
 ISEED =       12345
 K5PSIM =         153
 NSIMS =        5967
 
 
 x co-ordinate, centroid of sample units (location P):  3837.638889
 y co-ordinate, centroid of sample units (location P):  3518.333333
 
 x co-ordinate, centroid of counts       (location C):  4609.732394
 y co-ordinate, centroid of counts       (location C):  2872.702817
 
 Distance between centroids of units and counts, (delta):  1006.462689
 
 The maximum distance between sample units is:     8624.665848599585000
 
 
 Mean of original data =      9.86111
 Variance of original data =    606.26213
 Index of dispersion =   4365.08732 with    71 degrees of freedom
 
 
 Total counts =         710
 
 *** Program executed successfully! ***
