 I.A.F. plot information for graphics
 There follows in column order
 (but in no particular unit order):
 1: x-coordinate of FROM unit
 2: y-coordinate of FROM unit
 3: x-coordinate of TO unit
 4: y-coordinate of TO unit
 5: flow
 
     6063.0000000      1196.0000000      5132.0000000      2135.0000000           710
     5419.0000000      4150.0000000      2595.0000000      7563.0000000           710
     5419.0000000      4150.0000000      4275.0000000      5505.0000000           710
     5556.0000000      3580.0000000      3894.0000000      4672.0000000           710
     5419.0000000      4150.0000000      3341.0000000      7299.0000000           710
     5419.0000000      4150.0000000      3055.0000000      7630.0000000           710
     1385.0000000      8267.0000000      2366.0000000      8092.0000000           318
     5419.0000000      4150.0000000      2366.0000000      8092.0000000           392
     5556.0000000      3580.0000000      4313.0000000      4526.0000000           710
     3433.0000000      3143.0000000      2256.0000000      4686.0000000             4
     4259.0000000      3214.0000000      2256.0000000      4686.0000000           370
     4438.0000000      3304.0000000      2256.0000000      4686.0000000           336
     4025.0000000      2285.0000000      2666.0000000      3414.0000000           710
     4025.0000000      2285.0000000      4119.0000000      2800.0000000           710
     5419.0000000      4150.0000000      2778.0000000      7010.0000000           336
     5556.0000000      3580.0000000      2778.0000000      7010.0000000           374
     5419.0000000      4150.0000000      2916.0000000      7626.0000000           710
     5556.0000000      3580.0000000      5752.0000000      2656.0000000           262
     6063.0000000      1196.0000000      5752.0000000      2656.0000000           448
     6063.0000000      1196.0000000      5155.0000000      1771.0000000           710
     4903.0000000      2676.0000000      5203.0000000      2798.0000000            20
     5194.0000000      2884.0000000      5203.0000000      2798.0000000           514
     5556.0000000      3580.0000000      5203.0000000      2798.0000000           176
     5556.0000000      3580.0000000      2378.0000000      6958.0000000           710
     5556.0000000      3580.0000000      4057.0000000      4423.0000000           710
     4025.0000000      2285.0000000      3146.0000000      1199.0000000           710
     4025.0000000      2285.0000000      1952.0000000      2166.0000000           710
     4025.0000000      2285.0000000      4120.0000000      2797.0000000           710
     4025.0000000      2285.0000000      3975.0000000      2970.0000000           710
     4438.0000000      3304.0000000      3627.0000000      4346.0000000           332
     5556.0000000      3580.0000000      3627.0000000      4346.0000000           378
     5556.0000000      3580.0000000      3632.0000000      5936.0000000           710
     4025.0000000      2285.0000000      3773.0000000      1644.0000000           710
     6063.0000000      1196.0000000      5514.0000000      1687.0000000           710
     6063.0000000      1196.0000000      5380.0000000      1730.0000000           710
     6063.0000000      1196.0000000      4867.0000000      1554.0000000           710
     6063.0000000      1196.0000000      5132.0000000      2128.0000000           638
     5556.0000000      3580.0000000      5309.0000000      2710.0000000           638
     2802.0000000      3572.0000000      2578.0000000      3720.0000000            82
     3433.0000000      3143.0000000      2578.0000000      3720.0000000           366
     4025.0000000      2285.0000000      2578.0000000      3720.0000000           190
     6063.0000000      1196.0000000      4803.0000000      1428.0000000           638
     5419.0000000      4150.0000000      2755.0000000      8836.0000000           638
     4438.0000000      3304.0000000      4505.0000000      3261.0000000           638
     6063.0000000      1196.0000000      5064.0000000      1591.0000000           638
     3056.0000000      1378.0000000      3019.0000000      1074.0000000            82
     2824.0000000       450.0000000      3019.0000000      1074.0000000           256
     4025.0000000      2285.0000000      3019.0000000      1074.0000000           300
     4650.0000000      1645.0000000      4184.0000000      1070.0000000            82
     6063.0000000      1196.0000000      4184.0000000      1070.0000000           556
     5556.0000000      3580.0000000      3008.0000000      5108.0000000           638
     4025.0000000      2285.0000000      2747.0000000      1928.0000000           638
     6063.0000000      1196.0000000      5680.0000000      2205.0000000           566
     6063.0000000      1196.0000000      5134.0000000      2134.0000000           566
     5556.0000000      3580.0000000      4958.0000000      3483.0000000           566
     4025.0000000      2285.0000000      2411.0000000      2205.0000000           566
     5556.0000000      3580.0000000      2384.0000000      6235.0000000           422
     2251.0000000       649.0000000      1642.0000000       411.0000000           298
     2824.0000000       450.0000000      1642.0000000       411.0000000            52
     6063.0000000      1196.0000000      6076.0000000      2332.0000000           278
     5419.0000000      4150.0000000      3160.0000000      8636.0000000           278
     6063.0000000      1196.0000000      5677.0000000      2071.0000000           278
     4903.0000000      2676.0000000      5187.0000000      2478.0000000           278
     4025.0000000      2285.0000000      1823.0000000      2052.0000000           206
     5556.0000000      3580.0000000      4985.0000000      3756.0000000           206
     4025.0000000      2285.0000000      3270.0000000      1051.0000000           206
     4025.0000000      2285.0000000      2633.0000000      2836.0000000           206
     1385.0000000      8267.0000000      2629.0000000      8738.0000000           134
     1385.0000000      8267.0000000      1554.0000000      7453.0000000           134
     2824.0000000       450.0000000      1661.0000000       281.0000000            62
     6063.0000000      1196.0000000      5847.0000000      2123.0000000            62
 
 The number of nodal flows output above =       71
 
 
 All flows, unit by unit
 There follows in column order:
 1: Ref. No. of unit
 2: Ref. No. of FROM unit
 3: x-coordinate of FROM unit
 4: y-coordinate of FROM unit
 5: Ref. No. of TO unit
 6: x-coordinate of TO unit
 7: y-coordinate of TO unit
 8: flow
 9: distance of flow
 
    1    9     6063.0000000     1196.0000000    1     5132.0000000     2135.0000000        710  1322.301781
 
    2    2     4650.0000000     1645.0000000   32     4184.0000000     1070.0000000         82   740.122287
 
    3   37     4025.0000000     2285.0000000    3     1823.0000000     2052.0000000        206  2214.292889
 
    4    9     6063.0000000     1196.0000000    4     6076.0000000     2332.0000000        278  1136.074381
 
    5    9     6063.0000000     1196.0000000    5     5132.0000000     2128.0000000        638  1317.340123
 
    6   43     5556.0000000     3580.0000000    6     5309.0000000     2710.0000000        638   904.383215
 
    7   69     5419.0000000     4150.0000000    7     2595.0000000     7563.0000000        710  4429.847063
 
    8    9     6063.0000000     1196.0000000    8     5680.0000000     2205.0000000        566  1079.245107
 
    9    9     6063.0000000     1196.0000000    1     5132.0000000     2135.0000000        710  1322.301781
    9    9     6063.0000000     1196.0000000   39     5752.0000000     2656.0000000        448  1492.756176
    9    9     6063.0000000     1196.0000000   40     5155.0000000     1771.0000000        710  1074.750669
    9    9     6063.0000000     1196.0000000   70     5514.0000000     1687.0000000        710   736.533774
    9    9     6063.0000000     1196.0000000   71     5380.0000000     1730.0000000        710   866.974625
    9    9     6063.0000000     1196.0000000   72     4867.0000000     1554.0000000        710  1248.431015
    9    9     6063.0000000     1196.0000000    5     5132.0000000     2128.0000000        638  1317.340123
    9    9     6063.0000000     1196.0000000   14     4803.0000000     1428.0000000        638  1281.180705
    9    9     6063.0000000     1196.0000000   27     5064.0000000     1591.0000000        638  1074.256022
    9    9     6063.0000000     1196.0000000   32     4184.0000000     1070.0000000        556  1883.219849
    9    9     6063.0000000     1196.0000000    8     5680.0000000     2205.0000000        566  1079.245107
    9    9     6063.0000000     1196.0000000   10     5134.0000000     2134.0000000        566  1320.183699
    9    9     6063.0000000     1196.0000000    4     6076.0000000     2332.0000000        278  1136.074381
    9    9     6063.0000000     1196.0000000   38     5677.0000000     2071.0000000        278   956.358196
    9    9     6063.0000000     1196.0000000   60     5847.0000000     2123.0000000         62   951.832443
 
   10    9     6063.0000000     1196.0000000   10     5134.0000000     2134.0000000        566  1320.183699
 
   11   28     2802.0000000     3572.0000000   11     2578.0000000     3720.0000000         82   268.477187
   11   19     3433.0000000     3143.0000000   11     2578.0000000     3720.0000000        366  1031.481459
   11   37     4025.0000000     2285.0000000   11     2578.0000000     3720.0000000        190  2037.899409
 
   12   69     5419.0000000     4150.0000000   12     4275.0000000     5505.0000000        710  1773.347400
 
   13   43     5556.0000000     3580.0000000   13     3894.0000000     4672.0000000        710  1988.644765
 
   14    9     6063.0000000     1196.0000000   14     4803.0000000     1428.0000000        638  1281.180705
 
   15   69     5419.0000000     4150.0000000   15     3341.0000000     7299.0000000        710  3772.835141
 
   16   69     5419.0000000     4150.0000000   16     3055.0000000     7630.0000000        710  4207.005586
 
   17   18     1385.0000000     8267.0000000   17     2366.0000000     8092.0000000        318   996.486829
   17   69     5419.0000000     4150.0000000   17     2366.0000000     8092.0000000        392  4985.997694
 
   18   18     1385.0000000     8267.0000000   17     2366.0000000     8092.0000000        318   996.486829
   18   18     1385.0000000     8267.0000000   20     2629.0000000     8738.0000000        134  1330.179311
   18   18     1385.0000000     8267.0000000   23     1554.0000000     7453.0000000        134   831.358527
 
   19   19     3433.0000000     3143.0000000   29     2256.0000000     4686.0000000          4  1940.664319
   19   19     3433.0000000     3143.0000000   11     2578.0000000     3720.0000000        366  1031.481459
 
   20   18     1385.0000000     8267.0000000   20     2629.0000000     8738.0000000        134  1330.179311
 
   21   69     5419.0000000     4150.0000000   21     3160.0000000     8636.0000000        278  5022.676279
 
   22   69     5419.0000000     4150.0000000   22     2755.0000000     8836.0000000        638  5390.314648
 
   23   18     1385.0000000     8267.0000000   23     1554.0000000     7453.0000000        134   831.358527
 
   24   33     4438.0000000     3304.0000000   24     4505.0000000     3261.0000000        638    79.611557
 
   25   25     2824.0000000      450.0000000   30     3019.0000000     1074.0000000        256   653.759130
   25   25     2824.0000000      450.0000000   57     1642.0000000      411.0000000         52  1182.643226
   25   25     2824.0000000      450.0000000   48     1661.0000000      281.0000000         62  1175.214874
 
   26   43     5556.0000000     3580.0000000   26     4313.0000000     4526.0000000        710  1562.038732
 
   27    9     6063.0000000     1196.0000000   27     5064.0000000     1591.0000000        638  1074.256022
 
   28   28     2802.0000000     3572.0000000   11     2578.0000000     3720.0000000         82   268.477187
 
   29   19     3433.0000000     3143.0000000   29     2256.0000000     4686.0000000          4  1940.664319
   29   58     4259.0000000     3214.0000000   29     2256.0000000     4686.0000000        370  2485.717804
   29   33     4438.0000000     3304.0000000   29     2256.0000000     4686.0000000        336  2582.837200
 
   30   41     3056.0000000     1378.0000000   30     3019.0000000     1074.0000000         82   306.243367
   30   25     2824.0000000      450.0000000   30     3019.0000000     1074.0000000        256   653.759130
   30   37     4025.0000000     2285.0000000   30     3019.0000000     1074.0000000        300  1574.343355
 
   31   37     4025.0000000     2285.0000000   31     2666.0000000     3414.0000000        710  1766.782952
 
   32    2     4650.0000000     1645.0000000   32     4184.0000000     1070.0000000         82   740.122287
   32    9     6063.0000000     1196.0000000   32     4184.0000000     1070.0000000        556  1883.219849
 
   33   33     4438.0000000     3304.0000000   29     2256.0000000     4686.0000000        336  2582.837200
   33   33     4438.0000000     3304.0000000   63     3627.0000000     4346.0000000        332  1320.410921
   33   33     4438.0000000     3304.0000000   24     4505.0000000     3261.0000000        638    79.611557
 
   34   37     4025.0000000     2285.0000000   34     4119.0000000     2800.0000000        710   523.508357
 
   35   69     5419.0000000     4150.0000000   35     2778.0000000     7010.0000000        336  3892.875672
   35   43     5556.0000000     3580.0000000   35     2778.0000000     7010.0000000        374  4413.862707
 
   36   69     5419.0000000     4150.0000000   36     2916.0000000     7626.0000000        710  4283.408106
 
   37   37     4025.0000000     2285.0000000   31     2666.0000000     3414.0000000        710  1766.782952
   37   37     4025.0000000     2285.0000000   34     4119.0000000     2800.0000000        710   523.508357
   37   37     4025.0000000     2285.0000000   49     3146.0000000     1199.0000000        710  1397.153177
   37   37     4025.0000000     2285.0000000   51     1952.0000000     2166.0000000        710  2076.412772
   37   37     4025.0000000     2285.0000000   55     4120.0000000     2797.0000000        710   520.738898
   37   37     4025.0000000     2285.0000000   59     3975.0000000     2970.0000000        710   686.822393
   37   37     4025.0000000     2285.0000000   68     3773.0000000     1644.0000000        710   688.756125
   37   37     4025.0000000     2285.0000000   11     2578.0000000     3720.0000000        190  2037.899409
   37   37     4025.0000000     2285.0000000   30     3019.0000000     1074.0000000        300  1574.343355
   37   37     4025.0000000     2285.0000000   61     2747.0000000     1928.0000000        638  1326.926147
   37   37     4025.0000000     2285.0000000   62     2411.0000000     2205.0000000        566  1615.981436
   37   37     4025.0000000     2285.0000000    3     1823.0000000     2052.0000000        206  2214.292889
   37   37     4025.0000000     2285.0000000   52     3270.0000000     1051.0000000        206  1446.644739
   37   37     4025.0000000     2285.0000000   65     2633.0000000     2836.0000000        206  1497.085502
 
   38    9     6063.0000000     1196.0000000   38     5677.0000000     2071.0000000        278   956.358196
 
   39   43     5556.0000000     3580.0000000   39     5752.0000000     2656.0000000        262   944.559156
   39    9     6063.0000000     1196.0000000   39     5752.0000000     2656.0000000        448  1492.756176
 
   40    9     6063.0000000     1196.0000000   40     5155.0000000     1771.0000000        710  1074.750669
 
   41   41     3056.0000000     1378.0000000   30     3019.0000000     1074.0000000         82   306.243367
 
   42   67     4903.0000000     2676.0000000   42     5203.0000000     2798.0000000         20   323.857994
   42   54     5194.0000000     2884.0000000   42     5203.0000000     2798.0000000        514    86.469648
   42   43     5556.0000000     3580.0000000   42     5203.0000000     2798.0000000        176   857.981935
 
   43   43     5556.0000000     3580.0000000   13     3894.0000000     4672.0000000        710  1988.644765
   43   43     5556.0000000     3580.0000000   26     4313.0000000     4526.0000000        710  1562.038732
   43   43     5556.0000000     3580.0000000   35     2778.0000000     7010.0000000        374  4413.862707
   43   43     5556.0000000     3580.0000000   39     5752.0000000     2656.0000000        262   944.559156
   43   43     5556.0000000     3580.0000000   42     5203.0000000     2798.0000000        176   857.981935
   43   43     5556.0000000     3580.0000000   45     2378.0000000     6958.0000000        710  4637.948684
   43   43     5556.0000000     3580.0000000   47     4057.0000000     4423.0000000        710  1719.781963
   43   43     5556.0000000     3580.0000000   63     3627.0000000     4346.0000000        378  2075.523308
   43   43     5556.0000000     3580.0000000   66     3632.0000000     5936.0000000        710  3041.794207
   43   43     5556.0000000     3580.0000000    6     5309.0000000     2710.0000000        638   904.383215
   43   43     5556.0000000     3580.0000000   53     3008.0000000     5108.0000000        638  2971.041568
   43   43     5556.0000000     3580.0000000   50     4958.0000000     3483.0000000        566   605.815979
   43   43     5556.0000000     3580.0000000   46     2384.0000000     6235.0000000        422  4136.497190
   43   43     5556.0000000     3580.0000000   44     4985.0000000     3756.0000000        206   597.508996
 
   44   43     5556.0000000     3580.0000000   44     4985.0000000     3756.0000000        206   597.508996
 
   45   43     5556.0000000     3580.0000000   45     2378.0000000     6958.0000000        710  4637.948684
 
   46   43     5556.0000000     3580.0000000   46     2384.0000000     6235.0000000        422  4136.497190
 
   47   43     5556.0000000     3580.0000000   47     4057.0000000     4423.0000000        710  1719.781963
 
   48   25     2824.0000000      450.0000000   48     1661.0000000      281.0000000         62  1175.214874
 
   49   37     4025.0000000     2285.0000000   49     3146.0000000     1199.0000000        710  1397.153177
 
   50   43     5556.0000000     3580.0000000   50     4958.0000000     3483.0000000        566   605.815979
 
   51   37     4025.0000000     2285.0000000   51     1952.0000000     2166.0000000        710  2076.412772
 
   52   37     4025.0000000     2285.0000000   52     3270.0000000     1051.0000000        206  1446.644739
 
   53   43     5556.0000000     3580.0000000   53     3008.0000000     5108.0000000        638  2971.041568
 
   54   54     5194.0000000     2884.0000000   42     5203.0000000     2798.0000000        514    86.469648
 
   55   37     4025.0000000     2285.0000000   55     4120.0000000     2797.0000000        710   520.738898
 
   56   56     2251.0000000      649.0000000   57     1642.0000000      411.0000000        298   653.853959
 
   57   56     2251.0000000      649.0000000   57     1642.0000000      411.0000000        298   653.853959
   57   25     2824.0000000      450.0000000   57     1642.0000000      411.0000000         52  1182.643226
 
   58   58     4259.0000000     3214.0000000   29     2256.0000000     4686.0000000        370  2485.717804
 
   59   37     4025.0000000     2285.0000000   59     3975.0000000     2970.0000000        710   686.822393
 
   60    9     6063.0000000     1196.0000000   60     5847.0000000     2123.0000000         62   951.832443
 
   61   37     4025.0000000     2285.0000000   61     2747.0000000     1928.0000000        638  1326.926147
 
   62   37     4025.0000000     2285.0000000   62     2411.0000000     2205.0000000        566  1615.981436
 
